	rmspe_pre	rmspe_post	ratio	
55	         .	         .	         .	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	         .	       -44	
55	-24261.661	-94460.457	 -234.3634	
55	-94460.457	-94460.457	       -44	
55	-94460.457	-94460.457	       -44	
55	-94460.457	-94460.457	       -44	
55	-94460.457	-94460.457	       -44	
55	-94460.457	-94460.457	       -44	
55	-94460.457	-94460.457	       -44	
